# 691293 non-edge tracers in default, 15288 voids
# VoidID CoreParticle CoreDens Zone#Parts Void#Zones Void#Parts VoidVol(Mpc/h^3) VoidDensRatio
103049 811702 0.248349 140 1 140 22750485.604915 1.966675
93591 745990 0.248524 17 1 17 10837449.696684 1.498934
33276 403125 0.248568 87 1 87 12463892.855595 1.333421
29306 377777 0.248586 16 1 16 12841527.631738 1.150133
76316 625852 0.248608 11 1 11 12589698.878682 1.318874
88949 713775 0.248933 37 1 37 17948261.119032 1.188342
71789 579272 0.249038 13 1 13 10299907.424860 1.236555
1125 36005 0.249063 192 1 192 28947722.245133 1.528056
85159 687312 0.249302 172 1 172 23442121.826405 1.430058
21709 293002 0.249457 167 1 167 24559220.203339 1.571803
72307 585233 0.249499 58 1 58 27102539.938198 1.355870
82460 669148 0.249511 61 1 61 27046196.149104 1.224699
86580 697127 0.249762 193 1 193 28033031.507883 1.551247
107581 850265 0.249996 184 1 184 29303923.516285 1.603748
81819 665131 0.250092 310 1 310 46367474.527213 1.604349
63461 530804 0.250165 285 1 285 49615330.515226 1.843341
110142 883476 0.250198 97 1 97 13553283.466105 1.468376
60065 517986 0.250224 133 1 133 24684039.954164 1.691174
28424 369972 0.250274 47 1 47 34534459.767782 1.262744
106929 843706 0.250446 135 1 135 21989998.023948 1.763743
40317 440548 0.251065 6 1 6 13890121.038933 1.100114
80725 658014 0.251067 24 1 24 25655774.085400 1.140830
16840 242634 0.251069 155 1 155 26319835.636031 1.387508
10835 177837 0.251419 33 1 33 23986363.241657 1.286334
3251 85869 0.251518 87 1 87 21419837.100630 1.724808
94127 749727 0.251687 65 1 65 9146433.006257 1.356337
13748 210339 0.251805 22 1 22 14308785.082453 1.398406
24635 326563 0.251981 8 1 8 6616001.358588 1.143464
70148 563467 0.252016 104 1 104 46636566.457563 1.089285
79899 652563 0.252083 21 1 21 11395807.773571 1.494630
37854 427476 0.252101 59 1 59 7445167.957340 1.728400
106886 843262 0.252108 90 1 90 16455456.145291 1.608814
1361 43660 0.252186 92 1 92 14036585.882571 1.613984
92849 740488 0.252263 71 1 71 47720152.053825 1.221029
30043 383444 0.252354 63 1 63 29148338.213753 1.316936
110194 884338 0.252621 140 1 140 29670124.018330 1.675032
384 10161 0.253053 128 1 128 21288294.317429 1.588637
6319 126754 0.253076 91 1 91 14420943.691089 1.393442
77768 637768 0.253093 225 1 225 33641866.306993 1.438820
1141 36443 0.253180 167 1 167 27752387.565051 1.671285
94175 750035 0.253206 99 1 99 14511592.008831 1.637768
89972 720631 0.253209 234 1 234 31275973.198119 1.198000
2593 74935 0.253360 152 1 152 21014680.550583 1.317975
44530 458814 0.253385 38 1 38 20515060.276603 1.429734
