# 12629 voids from default
# VoidID RA(deg) Dec(deg) redshift R_eff(Mpc/h) delta_min delta_avg lambda_v DensRatio Theta_eff(deg) EdgeFlag
103884 27.137520 16.521 1.800 160.2689 -0.733 -0.205744 -91.022027 1.647255 2.711295 1
81219 350.303202 -36.996 0.971 156.6200 -0.733 -0.236944 -101.967527 1.505458 3.987840 0
15685 126.954130 -3.372 1.356 155.9699 -0.733 -0.244837 -104.839860 1.664973 3.144969 1
22297 217.136533 38.314 0.914 126.6573 -0.733 -0.300148 -100.113164 1.327902 3.373088 0
101333 5.154681 -19.249 1.375 170.2640 -0.733 -0.260151 -123.758030 1.417341 3.402020 0
2241 201.580253 10.395 1.428 190.6625 -0.732 -0.271555 -147.971107 1.270415 3.717725 0
42988 92.596238 -31.758 1.502 156.0495 -0.732 -0.226024 -96.843268 1.490981 2.946474 1
72254 45.740448 -34.300 0.930 172.1420 -0.732 -0.272511 -131.355366 1.123153 4.525213 1
20149 227.185075 4.499 0.949 146.4596 -0.732 -0.102157 -40.562869 1.871933 3.793274 1
97148 325.297917 -26.399 1.684 169.9320 -0.732 -0.201249 -95.513178 1.597928 2.990113 0
91068 47.936338 -6.399 1.736 191.8130 -0.732 -0.260482 -142.965380 1.364728 3.314567 0
99037 24.323852 -37.647 1.880 216.5764 -0.731 -0.208021 -132.081078 1.679955 3.574014 0
3642 172.618211 -32.088 1.504 181.6218 -0.731 -0.139404 -71.660252 1.491972 3.425961 0
24750 230.810391 50.930 1.239 162.3344 -0.731 -0.278318 -125.035588 1.451665 3.476325 0
5502 154.256271 14.801 1.278 145.6662 -0.731 -0.180296 -71.124049 1.449235 3.056145 0
21434 169.082120 61.074 1.475 185.1744 -0.731 -0.220126 -115.816138 1.415997 3.536117 0
90458 344.150181 3.482 0.935 168.8518 -0.731 -0.189244 -89.131087 1.794244 4.421242 1
13096 212.240932 -26.942 1.147 173.7327 -0.731 -0.182589 -88.988300 1.750933 3.924677 1
20330 191.583112 62.220 1.465 159.6388 -0.731 -0.374120 -164.731456 1.140499 3.062036 0
100844 28.317754 -1.631 1.405 141.7992 -0.731 -0.316849 -121.021062 1.619290 2.793438 0
74319 48.712716 -10.633 0.965 174.9186 -0.731 -0.186519 -91.648425 1.689516 4.473622 0
106868 23.134006 -1.616 2.055 169.2525 -0.730 -0.155203 -73.306506 1.769965 2.657598 1
103449 18.982416 -2.672 1.500 162.1520 -0.730 -0.180934 -81.176114 1.399384 3.064707 0
101619 22.845501 8.258 1.401 152.8715 -0.730 -0.153144 -64.016559 1.746919 3.017561 0
17890 220.856451 -19.808 0.929 170.3831 -0.730 -0.120406 -57.327030 1.862855 4.484857 1
73566 21.368802 -63.929 1.687 159.0141 -0.730 -0.228940 -100.333276 1.637089 2.795003 1
25869 250.787073 24.811 1.477 181.2268 -0.730 -0.108656 -55.708382 1.708975 3.458123 0
100851 356.292760 -28.897 1.478 189.2604 -0.730 -0.272286 -147.060837 1.404118 3.609422 0
92812 4.704639 40.180 1.409 164.5085 -0.730 -0.229027 -104.547240 1.437600 3.236136 1
66216 69.074461 -44.934 1.272 153.8905 -0.730 -0.227638 -95.917817 1.470508 3.237306 0
66148 60.596259 -53.948 1.035 143.4920 -0.730 -0.296839 -115.004451 1.403259 3.487409 0
13055 153.344138 26.897 1.001 135.1508 -0.730 -0.272995 -98.432315 1.610336 3.364563 0
84522 343.826597 -45.027 1.323 173.4929 -0.730 -0.289224 -140.725453 1.422001 3.556699 0
28763 126.805599 66.421 1.682 189.9895 -0.729 -0.155480 -84.362763 1.854993 3.345696 0
105020 355.788004 -5.718 1.458 139.2822 -0.729 -0.126884 -47.433032 1.807047 2.680120 0
98394 359.014438 -14.442 1.142 139.8245 -0.729 -0.262822 -98.710188 1.617266 3.167579 0
105067 27.973672 4.150 1.813 158.9382 -0.729 -0.224623 -98.384643 1.812879 2.677552 1
103107 351.886833 -3.198 1.336 153.9189 -0.729 -0.219529 -92.521223 1.402778 3.134430 0
26278 247.389986 12.990 1.155 191.3214 -0.729 -0.145992 -79.881481 1.076653 4.301395 0
75991 6.051940 -42.381 0.855 139.4885 -0.728 -0.249879 -93.578566 1.221530 3.908251 1
14689 223.644522 11.685 1.181 111.9301 -0.728 -0.315022 -90.589300 1.069320 2.477084 0
17348 207.382641 29.715 0.908 170.6621 -0.728 -0.256995 -122.599586 1.678075 4.570639 0
60405 68.426091 -63.913 1.566 164.1341 -0.728 -0.203823 -92.788198 1.515212 3.019510 1
90622 13.466147 2.561 0.918 124.6959 -0.728 -0.174177 -57.018328 1.615708 3.311843 1
4755 182.622296 24.811 1.289 155.5756 -0.728 -0.256421 -109.467036 1.199563 3.244140 0
98904 354.364666 -27.350 1.351 160.3945 -0.728 -0.253063 -112.061412 1.394568 3.242839 0
23526 243.169761 35.300 1.670 166.6215 -0.728 -0.272303 -126.220388 1.408505 2.946782 0
89371 50.382177 -19.349 1.873 151.6639 -0.728 -0.255902 -105.957864 1.281460 2.508229 1
3568 187.709248 16.966 1.269 166.5507 -0.728 -0.182335 -84.474687 1.481623 3.509580 0
23184 204.247518 58.379 1.104 157.6305 -0.728 -0.256089 -111.060380 1.445650 3.656921 0
24029 143.976541 49.835 0.942 109.6847 -0.728 -0.243886 -68.448185 1.746591 2.857415 0
106798 346.835949 -19.753 1.980 169.8205 -0.728 -0.250589 -118.836666 1.459085 2.721565 1
33968 205.686949 78.046 1.143 158.8128 -0.727 -0.226580 -99.148016 1.498683 3.596812 1
1403 183.152838 22.209 1.618 191.4115 -0.727 -0.271301 -148.529407 1.466639 3.451153 0
1761 166.061900 -18.366 1.512 175.2106 -0.727 -0.178515 -87.891752 1.706008 3.294074 0
5139 143.371477 8.129 1.470 176.9608 -0.727 -0.253278 -126.197215 1.216466 3.386738 0
68231 322.938146 -67.132 1.230 187.5255 -0.727 -0.213055 -113.806025 1.606619 4.037041 0
12762 175.888729 50.705 1.437 156.9971 -0.727 -0.307828 -132.855179 1.173646 3.048864 0
619 179.053248 -25.368 1.931 174.2909 -0.727 -0.168800 -82.585268 1.173501 2.832417 0
12646 136.351842 29.315 1.475 143.1123 -0.727 -0.248353 -95.913905 1.488180 2.732833 0
35334 232.898478 74.780 1.123 146.2123 -0.727 -0.284188 -112.612270 1.259071 3.352225 0
8428 210.970461 37.051 1.644 166.7256 -0.727 -0.210417 -97.607743 1.478413 2.977299 0
37708 106.618796 65.671 0.958 153.0506 -0.727 -0.247323 -103.530129 1.659885 3.935256 1
26093 216.505179 68.720 1.543 142.9029 -0.726 -0.293722 -113.236147 1.009306 2.652534 0
15733 226.777773 16.858 1.198 128.6504 -0.726 -0.263461 -89.538379 1.274051 2.819614 0
2613 193.169849 14.994 1.383 194.8425 -0.726 -0.306267 -171.285271 1.292736 3.879296 0
24578 208.766256 52.309 0.861 141.6357 -0.726 -0.308940 -117.836876 1.370256 3.947349 0
2153 176.960825 26.804 1.530 176.4459 -0.726 -0.284465 -141.241457 1.311261 3.293742 0
2797 140.439117 -13.648 1.958 240.9313 -0.726 -0.256598 -185.150526 1.572562 3.885179 1
84163 29.933108 15.169 0.985 142.2192 -0.726 -0.258235 -98.983982 1.483473 3.584614 1
1633 179.791370 -14.164 1.442 192.1553 -0.726 -0.263472 -144.916329 1.289069 3.724113 0
5992 182.938263 33.852 1.409 162.5968 -0.726 -0.252755 -113.771510 1.646608 3.197720 0
21353 121.457689 18.338 1.339 178.1334 -0.726 -0.225626 -113.314002 1.604462 3.622494 1
80104 41.454571 -13.199 0.981 187.7392 -0.726 -0.229695 -122.862026 1.432356 4.744686 0
8764 204.076625 36.301 1.486 145.3968 -0.726 -0.246776 -97.133332 1.651235 2.764055 0
76064 53.146193 -28.605 1.372 190.6752 -0.726 -0.265320 -144.584742 1.155085 3.816208 0
101860 19.675129 -20.220 1.472 192.1314 -0.726 -0.263919 -145.140693 1.387076 3.674457 0
16888 119.016500 0.559 1.754 182.8628 -0.726 -0.278065 -144.111150 1.446684 3.141423 1
75693 11.661661 -59.310 1.478 166.8222 -0.726 -0.177506 -82.398369 1.311212 3.181352 0
25328 111.450315 43.472 1.975 210.0667 -0.725 -0.136155 -83.341570 1.836098 3.371404 1
36059 118.451172 73.142 1.080 141.4045 -0.725 -0.270308 -102.899987 1.301271 3.333033 1
13234 211.411927 46.287 1.623 165.2112 -0.725 -0.250502 -114.936807 1.449182 2.973570 0
