# 13534 voids from default
# VoidID RA(deg) Dec(deg) redshift R_eff(Mpc/h) delta_min delta_avg lambda_v DensRatio Theta_eff(deg) EdgeFlag
27374 196.354107 63.606 0.856 126.4656 -0.738 -0.290356 -96.671251 1.489280 3.540050 1
3806 173.565102 30.138 1.496 140.7202 -0.737 -0.219241 -82.975260 1.424888 2.663963 0
4665 200.418741 27.791 1.430 147.7787 -0.737 -0.242287 -97.244186 1.420039 2.878225 0
4215 177.863680 31.388 1.390 131.2328 -0.737 -0.262772 -91.459910 1.105639 2.603511 0
7962 193.754917 34.288 1.340 155.0550 -0.737 -0.249538 -106.101122 1.489781 3.150801 0
110011 344.789418 -5.831 1.725 188.2307 -0.737 -0.202050 -108.414706 1.634071 3.264963 0
78005 346.344221 -63.978 1.745 188.8943 -0.737 -0.239864 -129.249368 1.570977 3.254204 0
21866 214.109094 55.068 1.477 134.4038 -0.737 -0.249213 -89.261368 1.343227 2.564449 0
20099 216.323373 55.144 1.749 162.5919 -0.736 -0.141134 -63.525956 1.489191 2.797371 0
11369 199.347218 -33.237 1.136 225.3470 -0.736 -0.129509 -86.242335 1.512055 5.125700 1
31681 247.585073 57.611 1.282 159.8854 -0.736 -0.220637 -97.330454 1.484460 3.345866 0
100879 2.409253 -37.751 1.509 150.8017 -0.736 -0.231867 -95.351368 1.204090 2.839511 0
92224 356.469454 -49.558 1.569 145.5064 -0.736 -0.270526 -106.577837 1.344686 2.673705 0
1217 205.300101 -21.349 2.035 201.6102 -0.736 -0.170576 -99.387774 1.383147 3.181972 1
74394 46.331504 -57.919 1.612 165.2621 -0.736 -0.236892 -108.732146 1.449049 2.986755 0
89407 331.656913 -32.057 1.180 155.1896 -0.736 -0.226356 -96.344465 1.659878 3.437495 0
73416 58.571650 -44.090 1.412 141.3664 -0.736 -0.270292 -102.860446 1.043124 2.775899 0
94634 15.652253 42.469 1.455 128.9208 -0.735 -0.136049 -46.353679 1.971481 2.483948 1
2151 202.907387 13.908 1.500 156.9719 -0.734 -0.236311 -101.969691 1.362516 2.965660 0
87337 354.327729 -50.620 1.478 141.7502 -0.734 -0.311715 -119.010777 1.219608 2.703427 0
70497 11.477124 -65.101 0.875 127.4702 -0.734 -0.097654 -32.823295 1.656408 3.511428 0
7156 136.584616 0.513 1.614 192.4609 -0.734 -0.228498 -125.919876 1.293686 3.475534 0
51998 82.218481 -65.062 1.696 115.1790 -0.734 -0.316954 -94.328738 1.589763 2.018578 0
785 188.842856 12.962 1.748 145.4125 -0.734 -0.218682 -86.086708 1.568305 2.503086 0
62129 64.989202 -62.805 1.018 122.4586 -0.734 -0.141183 -45.224141 1.690967 3.012783 1
284 194.103091 -8.892 2.023 169.8410 -0.734 -0.119863 -56.850893 1.492922 2.689899 1
94256 310.735506 -7.620 1.760 225.8957 -0.733 -0.232689 -155.405340 1.432975 3.873015 1
35407 169.255833 75.960 0.872 157.3673 -0.733 -0.196181 -84.909326 1.539723 4.344921 1
105298 19.456089 -10.428 1.407 189.8728 -0.733 -0.247751 -134.329119 1.575301 3.737031 0
18999 195.281504 57.251 1.481 155.3021 -0.733 -0.264370 -112.622511 1.273957 2.958185 0
105707 12.071715 -27.599 1.505 163.2823 -0.733 -0.234947 -106.291197 1.425978 3.078965 0
1886 197.125042 16.341 1.542 165.5016 -0.733 -0.256580 -117.973683 1.230099 3.074092 0
14168 221.907992 -9.544 1.157 184.4335 -0.733 -0.212572 -111.304811 1.295182 4.140441 1
13607 203.071204 26.964 1.032 139.3179 -0.733 -0.111622 -41.740658 1.526102 3.394018 0
92844 324.525406 -17.063 1.262 166.8948 -0.733 -0.279362 -129.747365 1.644427 3.530122 0
1931 151.631180 2.273 1.614 121.2052 -0.732 -0.316847 -100.247734 1.070783 2.188913 0
104905 342.824285 -32.079 1.699 152.0589 -0.732 -0.301322 -125.153959 1.380821 2.662301 1
72850 352.657030 -65.898 1.303 162.9862 -0.732 -0.222779 -100.566781 1.626344 3.373759 0
14936 214.495848 40.304 1.466 154.3827 -0.732 -0.352363 -149.041782 1.267268 2.959997 0
91629 44.673929 -22.589 1.492 130.4763 -0.732 -0.277202 -95.815120 1.512808 2.473948 0
101503 33.043289 -1.848 1.467 125.8807 -0.732 -0.264963 -87.727606 1.797138 2.412356 0
2649 201.649697 30.945 1.828 141.8736 -0.732 -0.192721 -73.656337 1.318062 2.378971 0
16754 202.819377 29.227 0.897 129.9367 -0.732 -0.181612 -62.463110 1.432047 3.510653 1
80925 345.330998 -35.489 0.867 115.9878 -0.732 -0.241217 -72.394133 1.639109 3.216625 1
53422 86.194027 -19.607 1.276 136.1247 -0.731 -0.250538 -91.116573 1.166205 2.858649 1
3347 208.101271 22.094 1.649 159.8287 -0.731 -0.279929 -123.433891 1.336142 2.848864 0
105765 326.859864 -3.326 1.689 146.5908 -0.731 -0.242789 -96.506571 1.746397 2.574934 0
25627 209.278664 54.339 0.848 131.9371 -0.731 -0.258603 -90.588531 1.691478 3.722114 1
1492 154.951950 7.693 1.697 178.8303 -0.731 -0.228963 -115.529833 1.398103 3.132764 1
91256 355.668684 -50.289 1.691 143.4427 -0.731 -0.314821 -121.921012 1.471860 2.518445 0
83702 33.325625 -51.464 1.623 157.2902 -0.731 -0.199236 -86.180654 1.618435 2.830641 0
11803 223.008341 13.147 1.272 213.4633 -0.731 -0.180943 -112.908988 1.410390 4.491737 0
79524 42.097190 -6.752 0.861 130.8927 -0.731 -0.328828 -114.095321 1.157956 3.649543 1
87737 40.559703 -22.551 1.228 156.9355 -0.731 -0.237876 -102.616241 1.347969 3.381132 0
108420 345.258146 -11.303 1.482 167.9500 -0.731 -0.240823 -112.697441 1.763033 3.198593 0
106471 26.864586 -13.453 1.539 151.0454 -0.731 -0.259851 -107.066572 1.473328 2.808932 0
6958 183.325550 45.810 1.714 159.8251 -0.731 -0.249891 -110.185726 1.361611 2.782952 0
3842 202.669922 -35.716 1.759 144.1476 -0.730 -0.250640 -97.637986 1.068870 2.471727 1
74464 61.476135 -36.542 1.497 186.4007 -0.730 -0.254138 -134.774326 1.409187 3.527337 0
93740 308.362936 -18.786 1.987 163.4762 -0.730 -0.201085 -91.101533 1.374816 2.614679 1
109619 20.020387 -9.899 1.669 190.9209 -0.730 -0.189947 -103.670875 1.409250 3.377447 0
75370 347.227902 -64.414 1.504 118.3358 -0.730 -0.173081 -53.209395 1.657556 2.231959 0
73558 29.799626 -64.714 1.529 132.8506 -0.730 -0.311702 -110.097218 1.393261 2.480617 0
92094 346.838506 1.695 0.892 167.9076 -0.730 -0.175569 -82.135855 1.682511 4.558086 0
26596 181.628739 70.826 1.510 184.9963 -0.730 -0.234806 -123.397248 1.262253 3.480790 0
10218 171.008934 -30.687 1.099 154.0768 -0.730 -0.169756 -71.632591 1.698949 3.586485 0
15457 122.381633 1.771 1.907 209.9848 -0.730 -0.227854 -139.406163 1.522563 3.437384 0
60815 81.854019 -20.360 1.544 175.8360 -0.729 -0.214240 -105.932777 1.512577 3.262527 0
81725 52.539047 -19.620 1.376 150.5909 -0.729 -0.220360 -90.467097 1.515955 3.008283 0
98285 40.108570 -5.816 1.451 163.0285 -0.729 -0.221683 -100.103590 1.221613 3.146577 0
12356 159.109105 -26.825 1.074 195.9666 -0.729 -0.168502 -94.890761 1.438287 4.639192 0
47343 269.714810 42.605 1.784 206.6193 -0.729 -0.180262 -108.170655 1.668297 3.514408 0
1411 210.070656 23.661 2.034 167.2068 -0.729 -0.129045 -60.068160 1.545249 2.640221 1
30412 247.574134 55.515 1.711 157.4664 -0.729 -0.225418 -97.637063 1.459327 2.745230 0
76130 22.103772 -50.276 1.008 129.5739 -0.729 -0.224970 -77.116084 1.419932 3.211191 0
35005 116.309047 59.568 0.952 137.6425 -0.729 -0.281114 -103.606251 1.545731 3.558303 1
73654 55.464757 -50.416 1.618 152.1968 -0.729 -0.223493 -92.928830 1.360238 2.744491 0
99676 16.627184 -46.991 1.995 172.0467 -0.729 -0.109082 -52.544685 1.724693 2.745381 1
75801 34.765542 -58.327 1.588 130.7529 -0.729 -0.277565 -96.184810 1.343089 2.384717 0
21122 203.037907 56.087 1.346 148.1263 -0.729 -0.194600 -78.325373 1.598300 3.001783 0
