# 41491 superclusters from default
# ClusterID RA(deg) Dec(deg) redshift R_eff(Mpc/h) delta_max delta_avg lambda_c DensRatio Theta_eff(deg) EdgeFlag
456 165.318479 2.369948 2.023227 103.774663 6.548992 -0.169657 -285.310467 4.537376 1.643274 0
95899 316.480995 -35.412388 0.883853 79.516711 6.524287 0.039718 43.623942 1.543784 2.172942 1
30424 209.760268 33.455040 0.895353 84.646071 6.509988 -0.248923 -302.159290 2.992946 2.290529 0
11757 197.745899 30.018532 1.351291 77.314475 6.501956 -0.045493 -47.770229 4.172217 1.562639 0
50934 108.011952 65.827312 2.055305 120.897086 6.501062 -0.090738 -194.828548 6.293925 1.897949 1
109819 6.769843 -60.980464 2.160241 90.173781 6.471286 -0.059825 -80.354719 8.497247 1.378050 0
13446 180.166164 -37.467640 1.361168 76.138889 6.469149 0.009764 10.004581 5.029376 1.531534 1
11734 228.361335 17.578524 2.099497 73.745506 6.461442 0.060437 58.841369 4.090868 1.144400 1
132519 16.651400 -1.040235 1.279987 115.404333 6.449069 -0.079613 -158.687233 3.199364 2.418083 1
126398 342.031712 -45.435612 1.947584 103.409824 6.435526 -0.212661 -355.620069 6.168896 1.672562 0
10812 136.518754 -7.361245 1.734478 86.421571 6.429269 -0.121428 -152.375232 5.333648 1.494364 0
36074 231.013941 41.934386 1.234949 101.506511 6.404780 -0.188394 -305.814704 3.857142 2.179033 0
7418 189.048359 11.979923 1.234703 67.209383 6.389221 -0.016056 -13.474885 3.964029 1.442975 0
128561 330.206778 16.565323 1.430745 96.649917 6.384841 0.010458 15.694897 3.178900 1.882183 1
129737 46.918067 -13.541542 2.168559 66.833824 6.355544 0.152497 126.839904 4.210424 1.019274 1
34662 134.032705 49.380113 1.419167 72.928582 6.354197 -0.109980 -105.184361 6.089188 1.427679 0
44763 121.134143 65.018036 1.698406 108.501329 6.349374 -0.159221 -287.538773 2.986567 1.899755 0
52403 212.835558 -80.858822 1.522955 100.936978 6.348044 0.249288 401.034425 3.277886 1.889272 0
58433 125.265275 83.887843 1.575631 82.545341 6.336044 -0.041508 -48.399651 6.417855 1.512697 1
56000 263.591498 40.538925 1.664752 107.952692 6.326387 -0.090430 -161.989016 3.775632 1.912991 0
22262 238.240440 11.995040 2.059847 91.184774 6.324014 0.188281 257.443005 3.006440 1.429773 1
81559 294.632954 -53.937115 0.840546 64.571154 6.319239 -0.015140 -11.917511 6.592690 1.833736 1
48616 171.745255 80.391778 1.728205 100.911407 6.315031 0.001357 2.181549 5.160927 1.748666 0
94323 58.093967 3.746259 0.919998 81.298298 6.312031 0.513086 583.876216 3.616846 2.155325 1
99696 40.041458 -41.072208 1.113507 73.270665 6.304099 -0.295343 -284.586489 5.873817 1.690019 0
84658 78.039961 10.569172 1.426197 156.138495 6.299867 -0.318552 -1029.902385 5.137944 3.046911 1
7447 141.825407 15.272695 1.809284 101.679789 6.297127 -0.061895 -100.747431 2.261669 1.715210 0
43722 149.139818 -63.197750 0.825264 111.620882 6.296737 -0.471624 -891.228404 4.673483 3.215175 1
92854 306.905382 -59.840534 1.865229 104.966483 6.290026 -0.026809 -45.915630 3.987996 1.739831 0
14045 202.345503 32.186966 1.365073 72.183047 6.265980 -0.115362 -108.532529 6.462926 1.449239 0
30248 221.920451 24.739434 0.989584 91.134186 6.255163 -0.077230 -105.506085 2.417696 2.288648 0
119314 45.755231 -9.431012 1.538060 88.152457 6.252988 0.049701 64.379022 3.029340 1.639831 0
113732 53.096712 -18.712439 1.815581 105.952931 6.242970 -0.174805 -303.903047 5.165278 1.783693 0
3876 211.588909 14.331632 1.881570 94.667904 6.242290 -0.118132 -171.511585 5.108229 1.561329 0
96881 312.823463 -56.018296 1.824529 121.226140 6.238804 0.077242 166.573647 2.444388 2.035012 0
3335 175.398753 -1.890727 1.430711 109.122607 6.232070 -0.092354 -168.314214 4.031333 2.125112 0
13551 177.103950 52.846468 2.151321 65.725818 6.222339 0.049935 40.437090 6.111555 1.006655 0
140570 0.583707 -0.873026 1.658635 77.891314 6.221336 -0.081765 -86.886482 3.783285 1.383353 0
108132 51.475592 27.189411 1.604080 120.929761 6.220042 -0.158854 -341.233302 5.100127 2.191857 1
125545 315.616696 -19.294274 1.869866 107.398885 6.192569 0.073968 131.415125 4.633520 1.777620 0
111019 337.635515 -4.327272 0.832070 66.544865 6.182620 0.107548 88.835588 4.828259 1.904638 0
116346 323.018450 -9.455302 1.165351 90.531030 6.182069 0.004587 6.200669 4.668331 2.022570 0
42713 245.261081 8.110111 0.828589 57.165384 6.175364 0.189658 122.852691 4.433977 1.641495 1
62238 260.798650 79.064917 1.199441 84.479530 6.159984 -0.053581 -64.835455 4.192641 1.850097 1
94263 52.559890 -50.367451 1.420465 97.723774 6.147234 -0.224789 -343.380538 4.054459 1.911951 0
74347 77.726019 65.071387 1.510600 121.078025 6.133322 -0.073447 -158.081668 4.366313 2.277873 1
140270 335.694384 -11.953116 1.978308 129.566498 6.124059 -0.119752 -287.258097 4.753713 2.077366 1
33123 165.553686 64.029672 1.732795 103.321334 6.115360 -0.057757 -96.452120 5.137707 1.787615 0
57844 266.120889 6.269945 1.581394 124.555847 6.092488 0.082535 185.873823 3.339229 2.277430 0
100892 326.239944 -27.556174 0.838905 82.050878 6.069316 0.048539 56.056760 4.283186 2.333655 1
35457 201.700760 -50.902069 0.937099 93.730226 6.054433 0.453647 648.225141 2.287972 2.450850 1
131278 347.984070 32.588767 1.560053 71.066514 6.052805 0.245326 225.116747 2.400578 1.310372 1
6249 189.944260 1.384665 1.253891 106.956022 6.051406 -0.180951 -319.365990 3.951830 2.272411 0
4983 181.597966 -8.013304 1.315220 120.742653 6.049587 -0.117488 -251.750285 5.080535 2.484443 0
135586 342.746453 -38.621990 2.139827 56.996229 6.045031 0.148480 95.724233 6.305996 0.875461 1
117347 13.811503 -25.409700 1.024232 112.827450 6.044764 -0.007955 -15.293567 3.407531 2.763061 0
45165 163.961105 -69.599402 0.871014 150.899365 6.043373 -0.147753 -452.310731 3.005085 4.169840 1
14759 131.853161 13.451188 1.804830 95.592026 6.037200 -0.123350 -181.892144 3.549843 1.614828 0
23148 200.017233 -44.623849 1.297068 96.724506 6.036250 0.070944 106.604511 2.995113 2.008759 1
119054 333.040884 -21.372588 1.151644 82.043392 6.026252 -0.144335 -166.663834 6.192373 1.848123 0
13906 202.471037 14.729525 1.127605 77.572986 5.986465 -0.151169 -159.587607 4.658442 1.773452 0
21228 204.164209 51.768140 1.823374 97.142043 5.986418 -0.060786 -91.971156 4.630722 1.631312 0
137505 13.241613 0.461837 1.472423 75.143447 5.979699 -0.177784 -178.369042 4.159538 1.436750 0
18345 224.852574 28.435760 1.703229 103.042690 5.974778 -0.026984 -44.867808 4.270223 1.801127 0
454 188.057822 -19.082531 2.148056 80.604408 5.966379 0.027654 31.041023 6.562879 1.235539 0
138960 5.380952 -21.588707 1.710107 111.748555 5.965651 -0.263008 -497.915936 5.797948 1.948612 0
35207 117.223461 11.889067 1.397147 89.720470 5.957467 -0.125230 -166.852885 5.802691 1.774266 1
